Player Name,Search Date,Position,Team,Assault-related?,Details,Status,NFL response,Team response,Incident Date,Source Date,Link
Josh Brown,5/20/2017,K,New York Giants (formerly),1,"domestic assault; 'physically, verbally and emotionally abused his wife'",Publicly admitted,1 game suspension + investigation,cut from team 10/25/16,May 2015,2/2/17,http://www.espn.com/nfl/story/_/id/18604215/former-new-york-giants-kicker-josh-brown-admits-domestic-violence-denies-hitting-wife
Ezekiel Elliott,5/19/2017,RB,Dallas Cowboys,1,assault of ex-girlfriend,"Accused, not charged",asking questions,no response,7/22/16,1/15/17,http://www.espn.com/nfl/story/_/id/18479727/ezekiel-elliott-dallas-cowboys-responding-additional-questions-nfl-surrounding-assault-accusations
Daryl Washington,5/20/2017,LB,Arizona Cardinals,1,assaulting the mother of his child',Pleaded guilty,??,??,May 2013,4/23/2014,https://www.usatoday.com/story/sports/nfl/cardinals/2014/04/23/daryl-washington-arizona-probation-assualt/8057881/
Aaron Rodgers,6/3/2017,QB,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Tom Brady,5/19/2017,QB,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Drew Brees,6/3/2017,QB,New Orleans Saints,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Andrew Luck,5/19/2017,QB,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Russell Wilson,6/3/2017,QB,Seattle Seahawks,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Matt Ryan,6/3/2017,QB,Atlanta Falcons,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Cam Newton,6/3/2017,QB,Carolina Panthers,2,"stealing laptop, arrested, charges dropped",No assault-related records found,N/A,N/A,October 2008,11/15/2015,http://www.al.com/sports/index.ssf/2015/11/cam_newton_refers_to_stolen_la.html
Ben Roethlisberger,6/3/2017,QB,Pittsburgh Steelers,1,rape,"Accused, settled",no action taken,??,July 2009,12/8/2015,https://broadly.vice.com/en_us/article/ben-roethlisberger-quarterback-twice-accused-of-sexual-assault
Ben Roethlisberger,6/3/2017,QB,Pittsburgh Steelers,1,rape,"Accused, not charged",4 game suspension,??,March 2010,12/8/2015,https://broadly.vice.com/en_us/article/ben-roethlisberger-quarterback-twice-accused-of-sexual-assault
Derek Carr,6/3/2017,QB,Oakland Raiders,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jameis Winston,6/3/2017,QB,Tampa Bay Buccaneers,1,sexual assault,"Accused, not charged, settled",none,none,December 2012,12/15/2016,http://www.espn.com/college-football/story/_/id/18281435/jameis-winston-settles-lawsuit-2012-sexual-assault-accuser
Marcus Mariota,6/11/2017,QB,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Philip Rivers,6/11/2017,QB,Los Angeles Chargers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Matthew Stafford,6/11/2017,QB,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kirk Cousins,6/11/2017,QB,Washington Redskins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Eli Manning,6/11/2017,QB,New York Giants,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Andy Dalton,6/11/2017,QB,Cincinnati Bengals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Carson Palmer,6/11/2017,QB,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Tyrod Taylor,6/11/2017,QB,Buffalo Bills,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Blake Bortles,6/11/2017,QB,Jacksonville Jaguars,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Ryan Tannehill,6/11/2017,QB,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Joe Flacco,6/11/2017,QB,Baltimore Ravens,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Carson Wentz,6/11/2017,QB,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Alex Smith,6/11/2017,QB,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Sam Bradford,6/11/2017,QB,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A